Date,Open,High,Low,Close,Adj Close,Volume
3/1/2019,23001.22852,23354.00781,23001.22852,23177.61914,23177.61914,1634348
3/4/2019,23354.00781,23812.62109,23283.45313,23706.78906,23706.78906,1375277
3/5/2019,23424.56445,24906.23828,23424.56445,24412.34766,24412.34766,5974891
3/6/2019,24412.34766,24624.01563,24271.23633,24518.18164,24518.18164,2411789
3/7/2019,24694.57031,24870.96094,24482.90234,24624.01563,24624.01563,2413192
3/8/2019,24306.51367,24482.90234,23918.45508,23989.01172,23989.01172,2563866
3/11/2019,24059.56836,24059.56836,23600.95508,23742.06641,23742.06641,1611841
3/12/2019,24059.56836,25047.34961,23847.90039,25047.34961,25047.34961,2395971
3/13/2019,24906.23828,25364.85156,24835.68359,25117.90625,25117.90625,4054826
3/14/2019,25117.90625,25894.02148,24835.68359,25541.24219,25541.24219,3757359
3/15/2019,25541.24219,26458.46875,25329.57422,26246.80078,26246.80078,4507402
3/18/2019,26246.80078,26529.02539,26035.13281,26317.35742,26317.35742,4146795
3/19/2019,26211.52344,26317.35742,25752.91016,25823.46484,25823.46484,3995568
3/20/2019,25505.96484,25752.91016,25047.34961,25470.68555,25470.68555,3827629
3/21/2019,25576.51953,25858.74414,24553.45898,24553.45898,24553.45898,3174290
3/22/2019,24976.79492,25188.46289,24553.45898,24765.12695,24765.12695,2660471
3/25/2019,24059.56836,24694.57031,23636.23242,24341.79102,24341.79102,2966299
3/26/2019,24624.01563,24765.12695,24130.12305,24200.67969,24200.67969,1476970
3/27/2019,24588.73633,24765.12695,24200.67969,24624.01563,24624.01563,1752580
3/28/2019,24306.51367,25294.29688,24306.51367,25117.90625,25117.90625,3113232
3/29/2019,25117.90625,25400.13086,25117.90625,25259.01758,25259.01758,2345359
4/1/2019,25259.01758,25611.79883,24906.23828,25047.34961,25047.34961,1925323
4/2/2019,25400.13086,25400.13086,24553.45898,24553.45898,24553.45898,2060110
4/3/2019,24553.45898,25470.68555,24306.51367,25188.46289,25188.46289,2686819
4/4/2019,25400.13086,25400.13086,24800.4043,24906.23828,24906.23828,1841857
4/5/2019,24906.23828,25188.46289,24553.45898,24729.84961,24729.84961,1309117
4/8/2019,24553.45898,25082.62891,24553.45898,25047.34961,25047.34961,1477777
4/9/2019,25047.34961,25541.24219,25047.34961,25223.74023,25223.74023,2950198
4/10/2019,25223.74023,25259.01758,24835.68359,24835.68359,24835.68359,740575
4/11/2019,24906.23828,25047.34961,24659.29297,24800.4043,24800.4043,912694
4/12/2019,24765.12695,24835.68359,24482.90234,24518.18164,24518.18164,1267661
4/16/2019,24412.34766,25117.90625,24130.12305,25047.34961,25047.34961,1990647
4/17/2019,25047.34961,25047.34961,24553.45898,24553.45898,24553.45898,1208190
4/18/2019,24553.45898,24976.79492,24447.625,24553.45898,24553.45898,1440076
4/19/2019,24553.45898,24835.68359,24482.90234,24588.73633,24588.73633,518553
4/22/2019,24588.73633,24588.73633,23953.73438,24130.12305,24130.12305,974347
4/23/2019,24412.34766,24412.34766,23953.73438,24130.12305,24130.12305,1425450
4/24/2019,24341.79102,24553.45898,24200.67969,24412.34766,24412.34766,847695
4/25/2019,24412.34766,24694.57031,24341.79102,24341.79102,24341.79102,658513
4/26/2019,24341.79102,24624.01563,24341.79102,24553.45898,24553.45898,686264
5/2/2019,24694.57031,24694.57031,24341.79102,24341.79102,24341.79102,685214
5/3/2019,24341.79102,24553.45898,24130.12305,24130.12305,24130.12305,787077
5/6/2019,23742.06641,23918.45508,23283.45313,23354.00781,23354.00781,1729492
5/7/2019,23495.12109,23918.45508,23212.89648,23354.00781,23354.00781,1345244
5/8/2019,23071.78516,23283.45313,22824.83984,22824.83984,22824.83984,1598603
5/9/2019,23036.50781,23142.33984,21872.33398,21942.89063,21942.89063,2746700
5/10/2019,22225.11328,22719.00586,22154.55859,22577.89258,22577.89258,1556254
5/13/2019,22577.89258,23142.33984,22577.89258,23071.78516,23071.78516,1103294
5/14/2019,22895.39453,23001.22852,22577.89258,22860.11719,22860.11719,1589717
5/15/2019,23001.22852,23354.00781,22789.56055,23212.89648,23212.89648,2211097
5/16/2019,23248.17383,23283.45313,22895.39453,23001.22852,23001.22852,1227678
5/17/2019,23071.78516,23071.78516,22577.89258,22683.72656,22683.72656,1330291
5/20/2019,22648.44922,23212.89648,22648.44922,23071.78516,23071.78516,1503573
5/21/2019,23071.78516,23459.8418,23001.22852,23318.73047,23318.73047,2645192
5/22/2019,23318.73047,23706.78906,23318.73047,23424.56445,23424.56445,1789686
5/23/2019,23283.45313,23565.67578,23001.22852,23565.67578,23565.67578,1127147
5/24/2019,23354.00781,23459.8418,22930.67383,22930.67383,22930.67383,2141450
5/27/2019,22930.67383,23071.78516,22860.11719,23001.22852,23001.22852,745550
5/28/2019,22930.67383,23142.33984,22683.72656,22789.56055,22789.56055,1674713
5/29/2019,22789.56055,22895.39453,22542.61523,22577.89258,22577.89258,1271275
5/30/2019,22719.00586,22789.56055,22436.78125,22436.78125,22436.78125,952194
5/31/2019,22330.94727,22507.33789,22189.83594,22225.11328,22225.11328,1567763
6/3/2019,22154.55859,22225.11328,21590.11133,21590.11133,21590.11133,2084941
6/4/2019,21590.11133,22577.89258,21554.83203,22577.89258,22577.89258,1441466
6/5/2019,22577.89258,22719.00586,22154.55859,22154.55859,22154.55859,684180
6/6/2019,22154.55859,22366.22656,21801.7793,22084.00195,22084.00195,467146
6/7/2019,22084.00195,22366.22656,22084.00195,22366.22656,22366.22656,650986
6/10/2019,22436.78125,22648.44922,22366.22656,22366.22656,22366.22656,668305
6/11/2019,22436.78125,22577.89258,22295.66992,22507.33789,22507.33789,1430623
6/12/2019,22366.22656,22507.33789,22189.83594,22225.11328,22225.11328,497916
6/13/2019,22154.55859,22401.50391,22154.55859,22225.11328,22225.11328,409801
6/14/2019,22366.22656,22754.2832,22225.11328,22683.72656,22683.72656,2323858
6/17/2019,22719.00586,22965.95117,22542.61523,22648.44922,22648.44922,983205
6/18/2019,22507.33789,22648.44922,22366.22656,22577.89258,22577.89258,416236
6/19/2019,22860.11719,22860.11719,22542.61523,22577.89258,22577.89258,753756
6/20/2019,22577.89258,23071.78516,22507.33789,23036.50781,23036.50781,1619111
6/21/2019,23071.78516,23248.17383,22895.39453,22930.67383,22930.67383,739356
6/24/2019,23036.50781,23283.45313,22860.11719,23001.22852,23001.22852,1162368
6/25/2019,23001.22852,23071.78516,22648.44922,22648.44922,22648.44922,1324409
6/26/2019,22577.89258,22965.95117,22507.33789,22930.67383,22930.67383,1491738
6/27/2019,22895.39453,22895.39453,22577.89258,22577.89258,22577.89258,990448
6/28/2019,22577.89258,22719.00586,22154.55859,22366.22656,22366.22656,925775
7/1/2019,22719.00586,22930.67383,22648.44922,22824.83984,22824.83984,780146
7/2/2019,22648.44922,22860.11719,22613.17188,22613.17188,22613.17188,644509
7/3/2019,22577.89258,22860.11719,22577.89258,22648.44922,22648.44922,580928
7/4/2019,22860.11719,23177.61914,22719.00586,23142.33984,23142.33984,1625873
7/5/2019,23036.50781,23424.56445,23001.22852,23142.33984,23142.33984,1707553
7/8/2019,23212.89648,23212.89648,22860.11719,22965.95117,22965.95117,799620
7/9/2019,22860.11719,23071.78516,22860.11719,23001.22852,23001.22852,572141
7/10/2019,23001.22852,23177.61914,22860.11719,22860.11719,22860.11719,990830
7/11/2019,23001.22852,23636.23242,22860.11719,23600.95508,23600.95508,3488069
7/12/2019,23636.23242,23847.90039,23495.12109,23565.67578,23565.67578,2008335
7/15/2019,23495.12109,23636.23242,23459.8418,23495.12109,23495.12109,1294675
7/16/2019,23600.95508,24377.06836,23600.95508,24377.06836,24377.06836,4660033
7/17/2019,24341.79102,24624.01563,24165.40234,24377.06836,24377.06836,2199474
