Date,Open,High,Low,Close,Adj Close,Volume
3/1/2019,40478.95313,41275.25781,40346.23438,41275.25781,41275.25781,1225908
3/4/2019,41275.25781,41806.13281,41275.25781,41673.41406,41673.41406,2030592
3/5/2019,41673.41406,42337.00391,41474.33594,41806.13281,41806.13281,2376092
3/6/2019,41872.48828,42005.20703,41076.18359,41607.05469,41607.05469,2107101
3/7/2019,41607.05469,42337.00391,41540.69531,41872.48828,41872.48828,3091640
3/8/2019,41407.97656,41806.13281,41208.90234,41673.41406,41673.41406,1502992
3/11/2019,41407.97656,41607.05469,41076.18359,41540.69531,41540.69531,2149189
3/12/2019,41806.13281,43000.59375,41607.05469,43000.59375,43000.59375,3397250
3/13/2019,43133.30859,43266.02734,42801.51563,43266.02734,43266.02734,2682908
3/14/2019,43266.02734,44460.48828,42801.51563,44460.48828,44460.48828,3828647
3/15/2019,44593.20703,44593.20703,43796.89844,43796.89844,43796.89844,3942286
3/18/2019,44128.69531,44991.35938,44128.69531,44858.64063,44858.64063,3461025
3/19/2019,44858.64063,44858.64063,44261.41016,44327.76953,44327.76953,2683345
3/20/2019,44261.41016,44593.20703,43929.61719,44261.41016,44261.41016,4082901
3/21/2019,44394.12891,45057.71875,44128.69531,44195.05469,44195.05469,2468046
3/22/2019,44327.76953,44460.48828,44128.69531,44394.12891,44394.12891,4247324
3/25/2019,43133.30859,43796.89844,42469.71875,43465.10547,43465.10547,2731552
3/26/2019,43863.25781,44128.69531,43465.10547,43465.10547,43465.10547,1895403
3/27/2019,43730.53906,43730.53906,42934.23438,43465.10547,43465.10547,1180216
3/28/2019,43597.82422,44261.41016,43398.74609,44261.41016,44261.41016,1118868
3/29/2019,44460.48828,44792.28516,44327.76953,44659.56641,44659.56641,1021790
4/1/2019,45057.71875,45057.71875,44858.64063,44991.35938,44991.35938,1603490
4/2/2019,45124.07813,45455.87109,44792.28516,44792.28516,44792.28516,839328
4/3/2019,44792.28516,44858.64063,44128.69531,44593.20703,44593.20703,2027834
4/4/2019,44593.20703,45057.71875,44327.76953,44925,44925,1430039
4/5/2019,44991.35938,45256.79688,44991.35938,45190.4375,45190.4375,719616
4/8/2019,45190.4375,46252.17969,45057.71875,46252.17969,46252.17969,1720792
4/9/2019,46252.17969,46451.25781,46053.10156,46318.53906,46318.53906,1279676
4/10/2019,46119.46094,46119.46094,45654.94922,45721.30859,45721.30859,1083546
4/11/2019,45787.66797,45787.66797,44925,45455.87109,45455.87109,610451
4/12/2019,45522.23047,45522.23047,44858.64063,45124.07813,45124.07813,671197
4/16/2019,45124.07813,45124.07813,44062.33594,44725.92578,44725.92578,609773
4/17/2019,45057.71875,45256.79688,44460.48828,45124.07813,45124.07813,778658
4/18/2019,44792.28516,45588.58984,44792.28516,45057.71875,45057.71875,903901
4/19/2019,45057.71875,45455.87109,45057.71875,45124.07813,45124.07813,350441
4/22/2019,44526.84766,45190.4375,44460.48828,45057.71875,45057.71875,471992
4/23/2019,45124.07813,45124.07813,43863.25781,44792.28516,44792.28516,1967511
4/24/2019,44792.28516,45920.38672,44792.28516,45455.87109,45455.87109,1031571
4/25/2019,45455.87109,45455.87109,44925,44925,44925,525475
4/26/2019,44991.35938,45323.15625,44792.28516,45057.71875,45057.71875,417817
5/2/2019,44858.64063,45057.71875,44062.33594,44394.12891,44394.12891,947015
5/3/2019,44327.76953,44593.20703,43863.25781,44261.41016,44261.41016,1294143
5/6/2019,43929.61719,44327.76953,43730.53906,43995.97656,43995.97656,549375
5/7/2019,43995.97656,44460.48828,43000.59375,43531.46484,43531.46484,1836210
5/8/2019,42867.875,43531.46484,42867.875,43199.66797,43199.66797,1531247
5/9/2019,43398.74609,43796.89844,43199.66797,43465.10547,43465.10547,1520789
5/10/2019,43465.10547,43863.25781,43266.02734,43531.46484,43531.46484,835411
5/13/2019,43664.17969,43863.25781,43531.46484,43730.53906,43730.53906,716435
5/14/2019,43398.74609,44195.05469,43398.74609,44195.05469,44195.05469,1302732
5/15/2019,44261.41016,44725.92578,44128.69531,44327.76953,44327.76953,1106451
5/16/2019,44327.76953,44725.92578,44327.76953,44327.76953,44327.76953,847224
5/17/2019,44327.76953,44460.48828,44195.05469,44327.76953,44327.76953,788076
5/20/2019,44327.76953,45190.4375,44261.41016,44991.35938,44991.35938,914812
5/21/2019,45057.71875,45389.51563,44925,44925,44925,1089784
5/22/2019,44792.28516,45522.23047,44460.48828,44593.20703,44593.20703,998659
5/23/2019,44725.92578,45124.07813,44526.84766,44858.64063,44858.64063,711945
5/24/2019,44659.56641,45124.07813,43863.25781,44128.69531,44128.69531,2260448
5/27/2019,44460.48828,44991.35938,44128.69531,44725.92578,44725.92578,574632
5/28/2019,44460.48828,45522.23047,44327.76953,44725.92578,44725.92578,2008320
5/29/2019,44858.64063,45190.4375,44593.20703,44792.28516,44792.28516,924531
5/30/2019,44792.28516,45190.4375,44659.56641,44925,44925,934025
5/31/2019,44792.28516,45124.07813,44327.76953,44593.20703,44593.20703,1419687
6/3/2019,44128.69531,44593.20703,42469.71875,44128.69531,44128.69531,1007641
6/4/2019,43796.89844,44792.28516,43730.53906,44593.20703,44593.20703,810410
6/5/2019,44593.20703,44792.28516,44261.41016,44261.41016,44261.41016,495969
6/6/2019,44261.41016,44261.41016,43133.30859,43730.53906,43730.53906,1562607
6/7/2019,44128.69531,44460.48828,43266.02734,43531.46484,43531.46484,739733
6/10/2019,44327.76953,44792.28516,43796.89844,44261.41016,44261.41016,933497
6/11/2019,44128.69531,44792.28516,44128.69531,44725.92578,44725.92578,2237979
6/12/2019,44725.92578,44792.28516,44394.12891,44460.48828,44460.48828,320845
6/13/2019,44460.48828,44792.28516,44062.33594,44659.56641,44659.56641,875480
6/14/2019,44792.28516,46185.82031,44659.56641,45920.38672,45920.38672,4152823
6/17/2019,45920.38672,46650.33203,45787.66797,45920.38672,45920.38672,2107538
6/18/2019,45787.66797,46783.05078,45256.79688,46650.33203,46650.33203,2037585
6/19/2019,46716.69141,46915.76953,46053.10156,46318.53906,46318.53906,2139077
6/20/2019,46252.17969,47446.64063,46185.82031,47446.64063,47446.64063,1827017
6/21/2019,47446.64063,47778.43359,47114.84766,47114.84766,47114.84766,2691317
6/24/2019,47446.64063,48972.89453,47114.84766,48442.02344,48442.02344,2223377
6/25/2019,48309.30859,48309.30859,47778.43359,48043.87109,48043.87109,1222623
6/26/2019,48043.87109,48110.23047,46783.05078,46783.05078,46783.05078,1891003
6/27/2019,47114.84766,47114.84766,46053.10156,46119.46094,46119.46094,2025634
